Type:          average
Points:        1350
Count:         16
XInc:          7.407407E-012
XOrg:          1.04125000000E-007
YData range:   1.60798E+002
YData center:  9.99998E-002
Coupling:      50 Ohms
XRange:        1.00000E-008
XOffset:       1.04125000000E-007
YRange:        1.60000E+002
YOffset:       1.00000E-001
Date:          14 JUN 2023
Time:          13:50:01:82
Frame:         86100D:MY50260121
X Units:       second
Y Units:       Volt
XY Data:
1.05428704E-007, -5.715E-001
1.05436111E-007, -5.842E-001
1.05443519E-007, -6.095E-001
1.05450926E-007, -5.690E-001
1.05458333E-007, -5.893E-001
1.05465741E-007, -6.019E-001
1.05473148E-007, -5.791E-001
1.05480556E-007, -6.298E-001
1.05487963E-007, -5.816E-001
1.05495370E-007, -6.298E-001
1.05502778E-007, -6.526E-001
1.05510185E-007, -6.247E-001
1.05517593E-007, -6.475E-001
1.05525000E-007, -5.893E-001
1.05532407E-007, -6.298E-001
1.05539815E-007, -6.222E-001
1.05547222E-007, -6.374E-001
1.05554630E-007, -6.450E-001
1.05562037E-007, -6.551E-001
1.05569444E-007, -6.678E-001
1.05576852E-007, -6.425E-001
1.05584259E-007, -6.855E-001
1.05591667E-007, -6.703E-001
1.05599074E-007, -6.526E-001
1.05606481E-007, -7.058E-001
1.05613889E-007, -6.931E-001
1.05621296E-007, -7.007E-001
1.05628704E-007, -7.185E-001
1.05636111E-007, -6.830E-001
1.05643519E-007, -6.855E-001
1.05650926E-007, -7.134E-001
1.05658333E-007, -7.438E-001
1.05665741E-007, -7.236E-001
1.05673148E-007, -7.464E-001
1.05680556E-007, -7.362E-001
1.05687963E-007, -7.312E-001
1.05695370E-007, -7.666E-001
1.05702778E-007, -7.210E-001
1.05710185E-007, -7.565E-001
1.05717593E-007, -7.768E-001
1.05725000E-007, -7.565E-001
1.05732407E-007, -7.590E-001
1.05739815E-007, -7.970E-001
1.05747222E-007, -8.148E-001
1.05754630E-007, -8.198E-001
1.05762037E-007, -8.046E-001
1.05769444E-007, -7.869E-001
1.05776852E-007, -8.097E-001
1.05784259E-007, -8.300E-001
1.05791667E-007, -7.920E-001
1.05799074E-007, -8.427E-001
1.05806481E-007, -8.579E-001
1.05813889E-007, -8.427E-001
1.05821296E-007, -8.781E-001
1.05828704E-007, -8.300E-001
1.05836111E-007, -8.427E-001
1.05843519E-007, -8.933E-001
1.05850926E-007, -8.680E-001
1.05858333E-007, -8.274E-001
1.05865741E-007, -8.731E-001
1.05873148E-007, -8.629E-001
1.05880556E-007, -8.756E-001
1.05887963E-007, -8.908E-001
1.05895370E-007, -9.136E-001
1.05902778E-007, -9.161E-001
1.05910185E-007, -9.237E-001
1.05917593E-007, -9.111E-001
1.05925000E-007, -9.694E-001
1.05932407E-007, -9.567E-001
1.05939815E-007, -9.618E-001
1.05947222E-007, -9.161E-001
1.05954630E-007, -9.288E-001
1.05962037E-007, -9.770E-001
1.05969444E-007, -9.719E-001
1.05976852E-007, -9.871E-001
1.05984259E-007, -9.972E-001
1.05991667E-007, -1.0074E+000
1.05999074E-007, -9.744E-001
1.06006481E-007, -1.0276E+000
1.06013889E-007, -1.0352E+000
1.06021296E-007, -1.0276E+000
1.06028704E-007, -1.0099E+000
1.06036111E-007, -1.0099E+000
1.06043519E-007, -1.0175E+000
1.06050926E-007, -1.0428E+000
1.06058333E-007, -1.0175E+000
1.06065741E-007, -1.0124E+000
1.06073148E-007, -1.0428E+000
1.06080556E-007, -1.0504E+000
1.06087963E-007, -1.0454E+000
1.06095370E-007, -1.0530E+000
1.06102778E-007, -1.0428E+000
1.06110185E-007, -1.0530E+000
1.06117593E-007, -1.0707E+000
1.06125000E-007, -1.0885E+000
1.06132407E-007, -1.0302E+000
1.06139815E-007, -1.0732E+000
1.06147222E-007, -1.0606E+000
1.06154630E-007, -1.0859E+000
1.06162037E-007, -1.1341E+000
1.06169444E-007, -1.0707E+000
1.06176852E-007, -1.0910E+000
1.06184259E-007, -1.0986E+000
1.06191667E-007, -1.0302E+000
1.06199074E-007, -1.0656E+000
1.06206481E-007, -1.0175E+000
1.06213889E-007, -1.0074E+000
1.06221296E-007, -9.846E-001
1.06228704E-007, -9.795E-001
1.06236111E-007, -9.491E-001
1.06243519E-007, -8.908E-001
1.06250926E-007, -8.300E-001
1.06258333E-007, -7.894E-001
1.06265741E-007, -7.007E-001
1.06273148E-007, -6.273E-001
1.06280556E-007, -5.893E-001
1.06287963E-007, -5.284E-001
1.06295370E-007, -3.663E-001
1.06302778E-007, -2.244E-001
1.06310185E-007, -9.51E-002
1.06317593E-007, 5.19E-002
1.06325000E-007, 1.938E-001
1.06332407E-007, 4.649E-001
1.06339815E-007, 6.803E-001
1.06347222E-007, 1.0452E+000
1.06354630E-007, 1.3518E+000
1.06362037E-007, 1.9473E+000
1.06369444E-007, 2.4921E+000
1.06376852E-007, 3.4576E+000
1.06384259E-007, 4.2710E+000
1.06391667E-007, 5.7154E+000
1.06399074E-007, 6.6707E+000
1.06406481E-007, 7.9326E+000
1.06413889E-007, 9.3441E+000
1.06421296E-007, 1.06465E+001
1.06428704E-007, 1.17666E+001
1.06436111E-007, 1.27776E+001
1.06443519E-007, 1.35505E+001
1.06450926E-007, 1.40675E+001
1.06458333E-007, 1.43310E+001
1.06465741E-007, 1.43437E+001
1.06473148E-007, 1.40624E+001
1.06480556E-007, 1.36595E+001
1.06487963E-007, 1.28081E+001
1.06495370E-007, 1.22911E+001
1.06502778E-007, 1.15233E+001
1.06510185E-007, 1.07986E+001
1.06517593E-007, 9.6481E+000
1.06525000E-007, 8.8145E+000
1.06532407E-007, 8.0872E+000
1.06539815E-007, 7.4892E+000
1.06547222E-007, 6.7949E+000
1.06554630E-007, 6.1639E+000
1.06562037E-007, 5.5355E+000
1.06569444E-007, 5.1731E+000
1.06576852E-007, 4.8285E+000
1.06584259E-007, 4.3723E+000
