Type:          raw
Points:        1350
Count:         1
XInc:          1.4814815E-011
XOrg:          4.5980000000E-008
YData range:   8.07981E+001
YData center:  1.39000E+001
Coupling:      50 Ohms
XRange:        2.00000E-008
XOffset:       4.5980000000E-008
YRange:        8.00000E+001
YOffset:       1.39000E+001
Date:          14 JUN 2023
Time:          11:33:47:68
Frame:         86100D:MY50260121
X Units:       second
Y Units:       Volt
XY Data:
4.8587407E-008, -2.51E-001
4.8602222E-008, -3.79E-001
4.8617037E-008, -4.42E-001
4.8631852E-008, -4.42E-001
4.8646667E-008, -3.79E-001
4.8661481E-008, -2.51E-001
4.8676296E-008, -3.79E-001
4.8691111E-008, -3.79E-001
4.8705926E-008, -3.15E-001
4.8720741E-008, -3.79E-001
4.8735556E-008, -3.15E-001
4.8750370E-008, -2.51E-001
4.8765185E-008, -3.15E-001
4.8780000E-008, -5.06E-001
4.8794815E-008, -3.15E-001
4.8809630E-008, -3.79E-001
4.8824444E-008, -3.15E-001
4.8839259E-008, -2.51E-001
4.8854074E-008, -3.79E-001
4.8868889E-008, -3.79E-001
4.8883704E-008, -3.79E-001
4.8898519E-008, -3.15E-001
4.8913333E-008, -4.42E-001
4.8928148E-008, -2.51E-001
4.8942963E-008, -3.15E-001
4.8957778E-008, -2.51E-001
4.8972593E-008, -3.79E-001
4.8987407E-008, -3.15E-001
4.9002222E-008, -3.15E-001
4.9017037E-008, -4.42E-001
4.9031852E-008, -2.51E-001
4.9046667E-008, -1.80E-001
4.9061481E-008, -1.80E-001
4.9076296E-008, -2.51E-001
4.9091111E-008, -3.79E-001
4.9105926E-008, -1.80E-001
4.9120741E-008, -2.51E-001
4.9135556E-008, -2.51E-001
4.9150370E-008, -3.15E-001
4.9165185E-008, -2.51E-001
4.9180000E-008, -1.11E-001
4.9194815E-008, -4.3E-002
4.9209630E-008, -1.80E-001
4.9224444E-008, -3.15E-001
4.9239259E-008, -3.15E-001
4.9254074E-008, -1.11E-001
4.9268889E-008, -1.80E-001
4.9283704E-008, -3.15E-001
4.9298519E-008, -1.80E-001
4.9313333E-008, -1.11E-001
4.9328148E-008, -1.11E-001
4.9342963E-008, -1.80E-001
4.9357778E-008, -1.80E-001
4.9372593E-008, -1.80E-001
4.9387407E-008, 2.9E-002
4.9402222E-008, -1.80E-001
4.9417037E-008, 2.9E-002
4.9431852E-008, 2.9E-002
