Type:          average
Points:        1350
Count:         16
XInc:          3.7037037E-011
XOrg:          2.4050000000E-008
YData range:   1.60798E+002
YData center:  9.99998E-002
Coupling:      50 Ohms
XRange:        5.00000E-008
XOffset:       2.4050000000E-008
YRange:        1.60000E+002
YOffset:       1.00000E-001
Date:          14 JUN 2023
Time:          13:37:56:15
Frame:         86100D:MY50260121
X Units:       second
Y Units:       Volt
XY Data:
3.0568519E-008, 5.19E-002
3.0605556E-008, 4.68E-002
3.0642593E-008, 4.68E-002
3.0679630E-008, 1.38E-002
3.0716667E-008, 8.23E-002
3.0753704E-008, 4.68E-002
3.0790741E-008, 3.66E-002
3.0827778E-008, 8.23E-002
3.0864815E-008, 4.43E-002
3.0901852E-008, -1.15E-002
3.0938889E-008, 2.40E-002
3.0975926E-008, 2.14E-002
3.1012963E-008, 4.43E-002
3.1050000E-008, 5.19E-002
3.1087037E-008, 3.66E-002
3.1124074E-008, 1.89E-002
3.1161111E-008, 5.95E-002
3.1198148E-008, 3.66E-002
3.1235185E-008, 1.64E-002
3.1272222E-008, 7.72E-002
3.1309259E-008, 5.95E-002
3.1346296E-008, 3.41E-002
3.1383333E-008, 4.43E-002
3.1420370E-008, 3.92E-002
3.1457407E-008, 4.93E-002
3.1494444E-008, 1.89E-002
3.1531481E-008, 6.2E-003
3.1568519E-008, 6.20E-002
3.1605556E-008, 3.92E-002
3.1642593E-008, 5.44E-002
3.1679630E-008, 3.66E-002
3.1716667E-008, 5.69E-002
3.1753704E-008, 6.71E-002
3.1790741E-008, 4.17E-002
3.1827778E-008, 4.68E-002
3.1864815E-008, 4.93E-002
3.1901852E-008, 4.68E-002
3.1938889E-008, 5.44E-002
3.1975926E-008, 4.43E-002
3.2012963E-008, 2.14E-002
3.2050000E-008, 3.41E-002
3.2087037E-008, 5.69E-002
3.2124074E-008, 5.69E-002
3.2161111E-008, 7.47E-002
3.2198148E-008, 4.68E-002
3.2235185E-008, 6.45E-002
3.2272222E-008, 3.16E-002
3.2309259E-008, 5.69E-002
3.2346296E-008, 2.14E-002
3.2383333E-008, 4.93E-002
3.2420370E-008, 5.19E-002
3.2457407E-008, 1.64E-002
3.2494444E-008, 6.20E-002
3.2531481E-008, 2.90E-002
3.2568519E-008, 3.66E-002
3.2605556E-008, 4.93E-002
3.2642593E-008, 8.23E-002
3.2679630E-008, 1.64E-002
3.2716667E-008, 1.89E-002
3.2753704E-008, 4.68E-002
3.2790741E-008, 3.66E-002
3.2827778E-008, 3.41E-002
3.2864815E-008, 2.14E-002
3.2901852E-008, 4.43E-002
3.2938889E-008, 4.93E-002
3.2975926E-008, 3.66E-002
3.3012963E-008, 2.65E-002
3.3050000E-008, 7.47E-002
3.3087037E-008, 4.43E-002
3.3124074E-008, 4.43E-002
3.3161111E-008, 7.97E-002
3.3198148E-008, 4.17E-002
3.3235185E-008, 4.43E-002
3.3272222E-008, 1.38E-002
3.3309259E-008, 4.17E-002
3.3346296E-008, 4.17E-002
3.3383333E-008, 3.16E-002
3.3420370E-008, 9.49E-002
3.3457407E-008, 4.17E-002
3.3494444E-008, 7.47E-002
3.3531481E-008, 6.20E-002
